theme,url,img,lines,author
PERSEVERANCE,/inspirational-quotes/8105-great-things-come-from-hard-work-and,https://assets.passiton.com/quotes/quote_artwork/8105/medium/20200806_thursday_quote.jpg?1596213320,Great things come from hard work and perseverance. No excuses.,<Author:0x00007f67f48e8380>
PERSEVERANCE,/inspirational-quotes/3016-patience-and-perseverance-have-a-magical-effect,https://assets.passiton.com/quotes/quote_artwork/3016/medium/20200805_wednesday_quote.jpg?1596213293,Patience and perseverance have a magical effect before which difficulties disappear and obstacles vanish.,<Author:0x00007f67f4976950>
PERSEVERANCE,/inspirational-quotes/8104-today-if-anything-is-trying-to-hold-you-back,https://assets.passiton.com/quotes/quote_artwork/8104/medium/20200804_tuesday_quote.jpg?1596213265,"Today if anything is trying to hold you back, give no attention to it. Get your hopes up, get your faith up, look up, and get ready to rise up.",<Author:0x00007f67f49f16a0>
PERSEVERANCE,/inspirational-quotes/3962-i-think-a-hero-is-an-ordinary-individual-who,https://assets.passiton.com/quotes/quote_artwork/3962/medium/20200803_monday_quote.jpg?1596213242,I think a hero is an ordinary individual who finds strength to persevere and endure in spite of overwhelming obstacles.,<Author:0x00007f67f4a36480>
LAUGHTER,/inspirational-quotes/3123-a-smile-starts-on-the-lips-a-grin-spreads-to,https://assets.passiton.com/quotes/quote_artwork/3123/medium/20200331_friday_quote.jpg?1595634378,"A smile starts on the lips, A grin spreads to the eyes, A chuckle comes from the belly; But a good laugh bursts forth from the soul, Overflows, and bubbles all around.",<Author:0x00007f67f4a7ca48>
LAUGHTER,/inspirational-quotes/8051-in-this-world-a-good-time-to-laugh-is-any-time,https://assets.passiton.com/quotes/quote_artwork/8051/medium/20200330_thursday_quote.jpg?1595634324,"In this world, a good time to laugh is any time you can. ",<Author:0x00007f67f4af3eb8>
LAUGHTER,/inspirational-quotes/6829-to-thrive-in-life-you-need-three-bones-a,https://assets.passiton.com/quotes/quote_artwork/6829/medium/20200329_wednesday_quote.jpg?1595634221,To thrive in life you need three bones. A wishbone. A backbone. And a funny bone.,<Author:0x00007f67f4b8b8f8>
LAUGHTER,/inspirational-quotes/7465-what-soap-is-to-the-body-laughter-is-to-the-soul,https://assets.passiton.com/quotes/quote_artwork/7465/medium/20200328_tuesday_quote.jpg?1595634197,"What soap is to the body, laughter is to the soul.",<Author:0x00007f67f4be9570>
LAUGHTER,/inspirational-quotes/8050-i-honestly-think-its-the-thing-i-like-most-to,https://assets.passiton.com/quotes/quote_artwork/8050/medium/20200327_monday_quote.jpg?1595634171,"I honestly think it's the thing I like most, to laugh. It cures a multitude of ills. It's probably the most important thing in a person.",<Author:0x00007f67f4c464c8>
CHARACTER,/inspirational-quotes/8103-good-character-is-the-single-most-important,https://assets.passiton.com/quotes/quote_artwork/8103/medium/20200724_friday_quote.jpg?1595011033,Good character is the single most important attribute of a successful and worthy life.,<Author:0x00007f67f4c95398>
CHARACTER,/inspirational-quotes/8102-just-as-we-develop-our-physical-muscles-through,https://assets.passiton.com/quotes/quote_artwork/8102/medium/20200723_thursday_quote.jpg?1595011009,Just as we develop our physical muscles through overcoming opposition – such as lifting weights – we develop our character muscles by overcoming challenges and adversity.,<Author:0x00007f67f4ccf110>
CHARACTER,/inspirational-quotes/8101-our-ability-to-handle-life-s-challenges-is-a,https://assets.passiton.com/quotes/quote_artwork/8101/medium/20200722_wednesday_quote.jpg?1595010982,Our ability to handle life’s challenges is a measure of our strength of character.,<Author:0x00007f67f4d25970>
CHARACTER,/inspirational-quotes/7364-good-character-is-more-to-be-praised-than,https://assets.passiton.com/quotes/quote_artwork/7364/medium/20200721_tuesday_quote.jpg?1595010959,"Good character is more to be praised than outstanding talent. Most talents are to some extent a gift. Good character, by contrast, is not given to us. We have to build it piece by piece by thought, choice, courage and determination.",<Author:0x00007f67f4d6e508>
CHARACTER,/inspirational-quotes/4393-people-grow-through-experience-if-they-meet,https://assets.passiton.com/quotes/quote_artwork/4393/medium/20200720_monday_quote.jpg?1595010931,People grow through experience if they meet life honestly and courageously. This is how character is built.,<Author:0x00007f67f4db8770>
INTEGRITY,/inspirational-quotes/8100-a-life-lived-with-integrity-is-a-shining-star,https://assets.passiton.com/quotes/quote_artwork/8100/medium/20200717_friday_quote.jpg?1594411651,A life lived with integrity… is a shining star in whose light others may follow in the years to come.,<Author:0x00007f67f4dfa5a8>
INTEGRITY,/inspirational-quotes/8099-the-greatness-of-a-man-is-not-in-how-much,https://assets.passiton.com/quotes/quote_artwork/8099/medium/20200716_thursday_quote.jpg?1594411624,"The greatness of a man is not in how much wealth he acquires, but in his integrity and his ability to affect those around him positively.",<Author:0x00007f67f4e5a9d0>
INTEGRITY,/inspirational-quotes/7654-real-integrity-is-doing-the-right-thing,https://assets.passiton.com/quotes/quote_artwork/7654/medium/20200715_wednesday_quote.jpg?1594411583,"Real integrity is doing the right thing, knowing that nobody’s going to know whether you did it or not.",<Author:0x00007f67f4ea6790>
INTEGRITY,/inspirational-quotes/8098-the-time-is-always-right-to-do-what-is-right,https://assets.passiton.com/quotes/quote_artwork/8098/medium/20200714_tuesday_quote.jpg?1594411553,The time is always right to do what is right.,<Author:0x00007f67f4ef0200>
